Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2013,NYM,74,88,3.82,619,1318,114,0.237,1384,2035,40,1442,684,1209,3.77,618,-34,0.691,0
2013,NYY,85,77,4.01,650,1321,115,0.242,1214,2048,49,1452,671,1233,3.94,633,-21,0.687,0
2013,OAK,96,66,4.73,767,1403,74,0.254,1178,2312,46,1339,625,1183,3.56,574,-7,0.708,0
2013,PHI,73,89,3.77,610,1355,73,0.248,1205,2094,32,1465,749,1199,4.32,689,-50,0.679,0
2013,PIT,94,68,3.91,634,1346,94,0.245,1330,2172,55,1299,577,1261,3.26,533,19,0.698,0
2013,SDP,76,86,3.81,618,1349,118,0.245,1309,2085,40,1407,700,1171,3.98,643,19,0.696,0
2013,SEA,71,91,3.85,624,1318,49,0.237,1353,2165,43,1467,754,1297,4.31,702,-51,0.6829999999999999,0
2013,SFG,76,86,3.88,629,1446,67,0.26,1078,2117,41,1380,691,1256,4.0,643,39,0.6890000000000001,0
2013,STL,97,65,4.83,783,1494,45,0.26899999999999996,1110,2231,44,1366,596,1254,3.42,555,14,0.691,0
2013,TBR,92,71,4.29,700,1421,73,0.257,1171,2258,42,1315,646,1310,3.74,608,12,0.7070000000000001,0
2013,TEX,91,72,4.48,730,1465,149,0.262,1067,2301,46,1370,636,1309,3.62,589,54,0.693,0
2013,TOR,74,88,4.4,712,1398,112,0.252,1123,2274,39,1451,756,1208,4.25,685,-42,0.69,0
2013,WSN,86,76,4.05,656,1365,88,0.251,1192,2161,47,1367,626,1236,3.59,576,-4,0.691,0
2014,ARI,64,98,3.8,615,1379,86,0.248,1165,2086,35,1467,742,1278,4.26,683,-4,0.6729999999999999,0
2014,ATL,79,83,3.54,573,1316,95,0.24100000000000002,1369,1969,54,1369,597,1301,3.38,547,23,0.687,0
2014,BAL,96,66,4.35,705,1434,44,0.256,1285,2363,53,1342,593,1174,3.43,557,41,0.706,0
2014,BOS,71,91,3.91,634,1355,63,0.244,1337,2046,36,1458,715,1213,4.01,653,5,0.685,0
2014,CHC,73,89,3.79,614,1315,65,0.239,1477,2118,37,1398,707,1311,3.91,636,-17,0.68,0
2014,CHW,73,89,4.07,660,1400,85,0.253,1362,2208,36,1468,758,1152,4.29,687,-62,0.6779999999999999,0
2014,CIN,76,86,3.67,595,1282,122,0.23800000000000002,1252,1969,44,1282,612,1290,3.59,576,65,0.7120000000000001,0
2014,CLE,85,77,4.13,669,1411,104,0.253,1189,2167,40,1398,653,1450,3.56,581,-47,0.6729999999999999,0
2014,COL,66,96,4.66,755,1551,85,0.276,1281,2498,24,1528,818,1074,4.84,770,35,0.6779999999999999,0
2014,DET,90,72,4.67,757,1557,106,0.27699999999999997,1144,2399,41,1475,705,1244,4.01,648,-91,0.6729999999999999,0
2014,HOU,70,92,3.88,629,1317,122,0.242,1442,2084,31,1437,723,1137,4.11,657,-46,0.685,0
2014,KCR,89,73,4.02,651,1456,153,0.263,985,2085,53,1386,624,1168,3.51,565,31,0.693,1
2014,LAA,98,64,4.77,773,1464,81,0.259,1266,2295,46,1307,630,1342,3.58,590,2,0.703,0
2014,LAD,94,68,4.43,718,1476,138,0.265,1246,2256,47,1338,617,1373,3.4,554,5,0.69,0
2014,MIA,77,85,3.98,645,1399,58,0.253,1419,2091,42,1481,674,1190,3.78,613,-22,0.675,0
2014,MIL,82,80,4.01,650,1366,102,0.25,1197,2169,45,1386,657,1246,3.67,594,10,0.696,0
2014,MIN,70,92,4.41,715,1412,99,0.254,1329,2166,38,1588,777,1031,4.57,728,-60,0.672,0
2014,NYM,79,83,3.88,629,1306,101,0.239,1264,1994,42,1370,618,1303,3.49,568,-15,0.688,0
2014,NYY,84,78,3.91,633,1349,112,0.245,1133,2089,48,1392,664,1370,3.75,605,-17,0.687,0
2014,OAK,88,74,4.5,729,1354,83,0.244,1104,2111,31,1269,572,1244,3.22,524,19,0.71,0
2014,PHI,73,89,3.82,619,1356,109,0.242,1306,2036,40,1396,687,1255,3.79,619,-9,0.693,0
2014,PIT,88,74,4.21,682,1436,104,0.259,1244,2239,48,1341,631,1228,3.47,562,31,0.6940000000000001,0
2014,SDP,77,85,3.3,535,1199,91,0.226,1294,1810,41,1300,577,1284,3.27,523,27,0.695,0
2014,SEA,87,75,3.91,634,1328,96,0.244,1232,2047,51,1240,554,1317,3.17,512,33,0.7120000000000001,0
2014,SFG,88,74,4.1,665,1407,56,0.255,1245,2144,46,1305,614,1211,3.5,564,42,0.703,1
2014,STL,90,72,3.82,619,1371,57,0.253,1133,2003,55,1321,603,1221,3.5,564,32,0.701,0
2014,TBR,77,85,3.78,612,1361,63,0.247,1124,2023,37,1292,625,1437,3.56,579,-21,0.7,0
2014,TEX,67,95,3.93,637,1400,105,0.256,1162,2049,33,1510,773,1110,4.49,711,-39,0.675,0
2014,TOR,83,79,4.46,723,1435,78,0.259,1151,2296,45,1400,686,1199,4.0,642,-15,0.693,0
2014,WSN,96,66,4.23,686,1403,101,0.253,1304,2178,45,1351,555,1288,3.03,495,31,0.691,0
2015,ARI,79,83,4.44,720,1494,132,0.264,1312,2341,44,1450,713,1215,4.04,659,37,0.693,0
2015,ATL,67,95,3.54,573,1361,69,0.251,1107,1948,44,1462,760,1148,4.41,698,-16,0.6809999999999999,0
2015,BAL,81,81,4.4,713,1370,44,0.25,1331,2307,43,1406,693,1233,4.05,646,-9,0.691,0
2015,BOS,78,84,4.62,748,1495,71,0.265,1148,2338,40,1486,753,1218,4.31,694,-16,0.68,0
2015,CHC,97,65,4.25,689,1341,95,0.244,1518,2186,48,1276,608,1431,3.36,546,2,0.695,0
2015,CHW,76,86,3.84,622,1381,68,0.25,1231,2103,37,1443,701,1359,3.98,643,-38,0.6729999999999999,0
2015,CIN,64,98,3.95,640,1382,134,0.248,1255,2194,35,1436,754,1252,4.33,700,0,0.6890000000000001,0
2015,CLE,81,80,4.16,669,1395,86,0.256,1157,2179,38,1274,640,1407,3.67,584,39,0.6990000000000001,0
2015,COL,68,94,4.55,737,1479,97,0.265,1283,2409,36,1579,844,1112,5.04,799,-3,0.6679999999999999,0
2015,DET,74,87,4.28,689,1515,83,0.27,1259,2355,35,1491,803,1100,4.64,746,-13,0.69,0
2015,HOU,86,76,4.5,729,1363,121,0.25,1392,2383,39,1308,618,1280,3.57,572,13,0.701,0
2015,KCR,95,67,4.47,724,1497,104,0.26899999999999996,973,2298,56,1372,641,1160,3.73,601,18,0.701,0
2015,LAA,85,77,4.08,661,1331,52,0.24600000000000002,1150,2144,46,1355,675,1221,3.94,630,13,0.701,0
2015,LAD,92,70,4.12,667,1346,59,0.25,1258,2222,47,1317,595,1396,3.44,553,23,0.6920000000000001,0
2015,MIA,71,91,3.78,613,1420,112,0.26,1150,2096,35,1374,678,1152,4.02,638,9,0.6940000000000001,0
2015,MIL,68,94,4.04,655,1378,84,0.251,1299,2155,40,1432,737,1260,4.28,682,3,0.679,0
2015,MIN,83,79,4.3,696,1349,70,0.247,1264,2182,45,1506,700,1046,4.07,653,-11,0.687,0
2015,NYM,90,72,4.22,683,1351,51,0.244,1290,2211,50,1341,613,1337,3.43,557,-4,0.6970000000000001,0
